symbol,date,timestamp,TotalRevenue,CostOfRevenue,GrossProfit,SellingGeneralAndAdministration,ResearchAndDevelopment,OtherOpEx,OperatingExpense,OperatingIncome,NetInterestIncome,OtherInc,PretaxIncome,TaxProvision,OtherAfterTaxEx,NetIncome,OtherStockholders,NetIncomeCommonStockholders,DilutedAverageShares,RevGrowth,GrossMargin,OpMargin,NetMargin,SG&A_Rev,R&D_Rev,OtherEx_Rev,EPS,DepreciationAndAmortization,OtherNonCashAdj,CashFlowFromContinuingOperatingActivities,CashFlowFromContinuingInvestingActivities,CashFlowFromContinuingFinancingActivities,ChangesInCash,OperatingCashFlow,CapitalExpenditure,FreeCashFlow,CFGrowth,CXChange,FCFGrowth,FCFMargin,TotalAssets,CurrentAssets,CashCashEquivalentsAndShortTermInvestments,Inventory,TotalNonCurrentAssets,NetPPE,TotalLiabilitiesNetMinorityInterest,CurrentLiabilities,CurrentDebtAndCapitalLeaseObligation,TotalNonCurrentLiabilitiesNetMinorityInterest,LongTermDebtAndCapitalLeaseObligation,TotalEquityGrossMinorityInterest,CommonStockEquity,RetainedEarnings,NetDebt,TangibleAssets,CapitalEmployed,InvestedCapital,NCAV,Shares,D_E,AssetsGrowth,TAGrowth,EquityGrowth,ICGrowth,source,currency,market_cap
BABAF,2022-03-31,2026-02-05T06:11:39.556825+0000,134420913529,85003624359,49417289170,23907377684,8739875846,1835271504,34482525034,14934764136,-3247770325,-2303425676,9383568135,4225363217,-4650657094,9808862013,-45696637,9763165375,21787000000,,0.367631,0.111104,0.072631,0.177855,0.065019,0.013653,0.448119,7573823718,5112508281,22495194012,-31293057315,-10155526159,-18953389462,22495194012,-8402508602,14092685410,,,,0.626475,267176105836,100616904774,71709842231,4740947347,166559201062,39937442946,96649963921,60474614832,2180044755,36175349089,25647158973,170526141915,149456210267,88802275527,-43882638503,44678390293,206701491004,170526141915,3966940853,21357323112,0.163184,,,,,yahooquery,usd,mega_cap
BABAF,2023-03-31,2026-02-05T06:11:39.556825+0000,126439072845,80009170332,46429902514,21203860186,8259198940,1965533316,31428592442,15001310072,-2472781806,452520963,12981049229,2263187021,124155800,10593706409,-39881230,10553825179,21114000000,-0.059379,0.367212,0.118645,0.08347,0.1677,0.065322,0.015545,0.49985,6831916676,11648666825,29074289910,-19723160362,-9550972354,-199842805,29074289910,-5000000035,24074289875,0.292467,-0.40494,0.708283,0.828027,255158944496,101590301130,76337622798,4155071058,153568643366,37470162116,91715621275,56088583299,2610182831,35627037976,25855263339,163443323221,144046490295,87189683889,-47872176627,41625233174,199070361197,163443323221,9874679855,20526017712,0.174161,-0.044978,-0.068336,-0.036196,-0.041535,yahooquery,usd,mega_cap
BABAF,2024-03-31,2026-02-05T06:11:39.556825+0000,130238427389,81135127270,49103300120,21743029026,7231163046,2987891773,31962083845,17141216275,-2478516559,-603888463,14058811253,3117553434,-130353559,11071611378,-37085726,11034525652,20359000000,0.030049,0.377026,0.131614,0.084726,0.166948,0.055522,0.022942,0.541997,6158444584,8037085688,25267141650,-3019995834,-14978758664,7268387152,25267141650,-4556701009,20710440641,-0.130946,-0.08866,-0.139728,0.819659,244216286116,104180999989,79018750057,3523143967,140035286126,37837542199,90255309887,58327959316,4825572523,31927350571,23627205312,153960976228,136517538963,82736732465,-50565972222,41360686166,185888326800,153960976228,13925690102,19469126956,0.184805,-0.042886,-0.006355,-0.052268,-0.058016,yahooquery,usd,mega_cap
BABAF,2025-03-31,2026-02-05T06:11:39.556825+0000,137184965891,82376629145,54808336747,25921131572,7869003455,767610265,34557745293,20250591454,1537010474,-383323225,21404278703,4880349031,-1390510505,17914440177,-87982594,17826457584,19318000000,0.053337,0.399521,0.147615,0.129945,0.18895,0.057361,0.005595,0.92279,5846092242,-1247315048,22513217371,-25529409383,-10493886342,-13510078354,22513217371,-11837307572,10675909799,-0.108992,1.59778,-0.484516,0.474206,248420298807,92808418226,58943243271,2600512122,155611880581,34332350135,98325849355,59941893899,3649556536,38383955456,30512198242,150094449452,139045267648,88874536094,-24781488493,36932862257,188478404907,161827664941,-5517431129,18997077324,0.227602,0.017214,-0.107054,0.018516,0.051095,yahooquery,usd,mega_cap
BAC,2021-12-31,2026-02-05T06:11:39.556825+0000,89113000000,,,45049000000,,-45049000000,,,42934000000,-8958000000,33976000000,1998000000,0,31978000000,-1421000000,30557000000,8077831463,,,,0.342902,0.505527,,-0.505527,3.782822,1898000000,-41069000000,-7193000000,-313291000000,291650000000,-28834000000,-7193000000,,-7193000000,,,,,3169495000000,,355365000000,,,10833000000,2899429000000,,23753000000,,280117000000,270066000000,245358000000,188064000000,-51495000000,10833000000,3169495000000,270066000000,-2899429000000,8077831463,1.125169,,,,,yahooquery,usd,mega_cap
BAC,2022-12-31,2026-02-05T06:11:39.556825+0000,94950000000,,,45946000000,,-45946000000,,,52462000000,-21493000000,30969000000,3441000000,0,27528000000,-1513000000,26015000000,8167500000,0.065501,,,0.273986,0.483897,,-0.483897,3.185185,1978000000,-35833000000,-6327000000,-2529000000,-106039000000,-114895000000,-6327000000,,-6327000000,-0.120395,,-0.120395,,3051375000000,,237462000000,,,11510000000,2778178000000,,26932000000,,275982000000,273197000000,244800000000,207003000000,65452000000,11510000000,3051375000000,338649000000,-2778178000000,7996777943,1.108775,-0.037268,0.062494,-0.002274,0.253949,yahooquery,usd,mega_cap
BAC,2023-12-31,2026-02-05T06:11:39.556825+0000,98581000000,,,47715000000,,-47715000000,,,56931000000,-28589000000,28342000000,1827000000,0,26515000000,-1649000000,24866000000,8080500000,0.038241,,,0.252239,0.484018,,-0.484018,3.077285,2057000000,16410000000,44982000000,-35387000000,93345000000,102940000000,44982000000,,44982000000,,,,1.0,3180151000000,,341419000000,,,11855000000,2888505000000,,32098000000,,302204000000,291646000000,263249000000,224672000000,-7117000000,11855000000,3180151000000,291646000000,-2888505000000,7895457665,1.14626,0.042203,0.029974,0.075364,-0.138796,yahooquery,usd,mega_cap
BAC,2024-12-31,2026-02-05T06:11:39.556825+0000,101887000000,,,49623000000,,-49623000000,,,56060000000,-26806000000,29254000000,2122000000,0,27132000000,-1629000000,25503000000,7935800000,0.033536,,,0.250307,0.48704,,-0.48704,3.213665,2189000000,-38126000000,-8805000000,-90693000000,60369000000,-39129000000,-8805000000,,-8805000000,,,,,3261519000000,,296486000000,,,12168000000,2965960000000,,43391000000,,283279000000,295559000000,272400000000,242349000000,30184000000,12168000000,3261519000000,325743000000,-2965960000000,7610862311,1.105262,0.025586,0.026402,0.034762,0.116912,yahooquery,usd,mega_cap
BAC-PB,2021-12-31,2026-02-05T06:11:39.556825+0000,89113000000,,,45049000000,,-45049000000,,,42934000000,-8958000000,33976000000,1998000000,0,31978000000,-1421000000,30557000000,8077831463,,,,0.342902,0.505527,,-0.505527,3.782822,1898000000,-41069000000,-7193000000,-313291000000,291650000000,-28834000000,-7193000000,,-7193000000,,,,,3169495000000,,355365000000,,,10833000000,2899429000000,,23753000000,,280117000000,270066000000,245358000000,188064000000,-51495000000,10833000000,3169495000000,270066000000,-2899429000000,8077831463,1.125169,,,,,yahooquery,usd,mega_cap
BAC-PB,2022-12-31,2026-02-05T06:11:39.556825+0000,94950000000,,,45946000000,,-45946000000,,,52462000000,-21493000000,30969000000,3441000000,0,27528000000,-1513000000,26015000000,7996777943,0.065501,,,0.273986,0.483897,,-0.483897,3.253185,1978000000,-35833000000,-6327000000,-2529000000,-106039000000,-114895000000,-6327000000,,-6327000000,-0.120395,,-0.120395,,3051375000000,,237462000000,,,11510000000,2778178000000,,26932000000,,275982000000,273197000000,244800000000,207003000000,65452000000,11510000000,3051375000000,338649000000,-2778178000000,7996777943,1.108775,-0.037268,0.062494,-0.002274,0.253949,yahooquery,usd,mega_cap
